Dimension,Probability,No_of_blocks,Density,Total_Cells_Discovered,Manhattan_outcome,Manhattan_Trajectory_length,Manhattan_Actual_length,Time_taken
101,0.09,959,0.09401039113812372,33,1,211.0,201.0,1.2097561359405518
101,0.09,909,0.0891089108910891,20,1,209.0,201.0,1.4321672916412354
101,0.09,915,0.08969708852073326,155,0,,,2.3863637447357178
101,0.13,1321,0.12949710812665424,19,1,213.0,201.0,1.3703312873840332
101,0.13,1401,0.13733947652190961,5,1,227.0,201.0,1.6486270427703857
101,0.13,1280,0.12547789432408588,41,1,205.0,201.0,1.4182345867156982
101,0.13,1314,0.1288109008920694,49,1,207.0,201.0,1.4471473693847656
101,0.13,1310,0.12841878247230665,7,1,211.0,201.0,1.682497262954712
101,0.13,1375,0.13479070679345162,15,1,211.0,201.0,2.032482624053955
101,0.13,1341,0.1314577002254681,17,1,213.0,201.0,1.5197486877441406
101,0.13,1348,0.13214390746005295,54,1,213.0,201.0,1.7126247882843018
101,0.13,1326,0.1299872561513577,11,1,227.0,201.0,1.3848557472229004
101,0.13,1303,0.1277325752377218,72,1,205.0,201.0,1.5243513584136963
101,0.13,1332,0.13057543378100187,12,1,209.0,201.0,1.5810449123382568
101,0.13,1277,0.1251838055092638,17,1,217.0,201.0,1.4817049503326416
101,0.13,1322,0.12959513773159495,6,1,211.0,201.0,0.8543438911437988
101,0.13,1331,0.13047740417606116,11,1,209.0,201.0,1.3865742683410645
101,0.13,1340,0.1313596706205274,19,1,219.0,201.0,1.5612688064575195
101,0.13,1314,0.1288109008920694,6,1,211.0,201.0,2.044361114501953
101,0.13,1402,0.1374375061268503,23,1,219.0,201.0,0.896207332611084
101,0.13,1334,0.13077149299088325,16,1,223.0,201.0,2.3570730686187744
101,0.13,1288,0.1262621311636114,20,1,205.0,201.0,1.6274867057800293
101,0.13,1359,0.13322223311440054,38,1,217.0,201.0,1.2777581214904785
101,0.13,1313,0.12871287128712872,60,1,205.0,201.0,1.459369421005249
101,0.13,1290,0.1264581903734928,21,1,203.0,201.0,1.0167770385742188
101,0.13,1263,0.12381139104009412,8,1,205.0,201.0,1.037318229675293
101,0.13,1364,0.133712381139104,75,1,205.0,201.0,1.374460220336914
