Dimension,Probability,No_of_blocks,Density,Total_Cells_Discovered,Total_Blocked_Cells_Discovered,Manhattan_outcome,Manhattan_Trajectory_length,Manhattan_Actual_length,Time_taken
101,0.05,488,0.04783844721105774,484,24,1,203.0,203.0,0.031243085861206055
101,0.05,488,0.04783844721105774,497,29,0,,,0.552018404006958
101,0.05,505,0.04950495049504951,492,26,1,207.0,205.0,0.03191423416137695
101,0.05,483,0.047348299186354276,520,29,1,221.0,217.0,0.0452733039855957
101,0.05,515,0.05048524654445643,498,21,1,213.0,213.0,0.015621662139892578
101,0.05,508,0.04979903930987158,496,30,1,215.0,215.0,0.031241893768310547
101,0.05,519,0.05087736496421919,436,16,1,213.0,211.0,0.0
101,0.05,515,0.05048524654445643,494,23,1,207.0,207.0,0.031244277954101562
101,0.05,515,0.05048524654445643,455,25,1,213.0,213.0,0.031240463256835938
101,0.05,489,0.047936476815998434,478,19,1,211.0,209.0,0.05390620231628418
101,0.05,518,0.050779335359278505,482,31,1,223.0,213.0,0.0312809944152832
101,0.05,546,0.05352416429761788,496,27,1,213.0,213.0,0.03407764434814453
101,0.05,494,0.04842662484070189,487,23,1,211.0,211.0,0.03127861022949219
101,0.05,503,0.04930889128516812,487,31,1,205.0,205.0,0.046862125396728516
101,0.05,520,0.050975394569159886,445,20,1,207.0,205.0,0.015618562698364258
101,0.05,504,0.04940692089010881,482,21,1,215.0,213.0,0.015619516372680664
101,0.05,513,0.05028918733457504,479,22,1,207.0,205.0,0.015621185302734375
101,0.05,529,0.05185766101362611,503,23,1,219.0,217.0,0.015618324279785156
101,0.05,454,0.044505440643074205,488,17,1,211.0,209.0,0.015619993209838867
101,0.05,521,0.05107342417410058,453,28,1,219.0,215.0,0.015622377395629883
101,0.05,511,0.05009312812469366,501,23,1,215.0,209.0,0.03124523162841797
101,0.05,497,0.04872071365552397,457,21,1,211.0,209.0,0.015620946884155273
101,0.05,491,0.048132536025879816,504,29,1,211.0,209.0,0.015617132186889648
101,0.05,495,0.048524654445642586,528,25,1,225.0,217.0,0.031241893768310547
101,0.05,511,0.05009312812469366,491,25,1,217.0,213.0,0.03125500679016113
101,0.05,513,0.05028918733457504,499,21,1,207.0,207.0,0.05459022521972656
101,0.05,513,0.05028918733457504,493,20,1,215.0,211.0,0.015660524368286133
101,0.05,503,0.04930889128516812,411,11,1,209.0,209.0,0.0
101,0.05,460,0.045093618272718364,514,25,1,221.0,219.0,0.031243562698364258
101,0.05,536,0.05254386824821096,481,25,1,209.0,209.0,0.015620946884155273
101,0.09,920,0.09018723654543673,464,37,1,223.0,215.0,0.046869516372680664
101,0.09,908,0.08901088128614841,481,48,1,223.0,215.0,0.04687023162841797
101,0.09,907,0.08891285168120773,522,51,1,241.0,223.0,0.0468602180480957
101,0.09,952,0.09332418390353887,525,49,1,223.0,217.0,0.046866655349731445
101,0.09,892,0.08744240760709734,517,51,1,231.0,217.0,0.031238794326782227
