Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Trajectory_length,Outcome,Time_taken
101,0.01,104,0.010195078913831977,1218,201.0,201.0,203.0,1,0.04889941215515137
101,0.01,83,0.008136457210077443,1437,201.0,201.0,203.0,1,0.06489992141723633
101,0.01,118,0.011567493383001667,29,201.0,201.0,203.0,1,0.12741708755493164
101,0.01,106,0.010391138123713362,3813,201.0,201.0,203.0,1,0.08977818489074707
101,0.01,117,0.011469463778060974,7347,201.0,201.0,201.0,1,0.14303374290466309
101,0.01,112,0.010979315753357513,29,201.0,201.0,203.0,1,0.1536731719970703
101,0.01,89,0.008724634839721596,4121,201.0,201.0,203.0,1,0.14479637145996094
101,0.01,98,0.009606901284187825,9969,201.0,201.0,201.0,1,0.06081795692443848
101,0.01,134,0.01313596706205274,4945,201.0,201.0,203.0,1,0.15361380577087402
101,0.01,99,0.009704930889128516,74,201.0,201.0,207.0,1,0.22539544105529785
101,0.01,105,0.01029310851877267,477,201.0,201.0,205.0,1,0.1715388298034668
101,0.01,96,0.00941084207430644,5243,201.0,201.0,203.0,1,0.11266660690307617
101,0.01,99,0.009704930889128516,1842,201.0,201.0,203.0,1,0.06781148910522461
101,0.01,116,0.011371434173120282,4522,201.0,201.0,203.0,1,0.11372971534729004
101,0.01,120,0.01176355259288305,2801,201.0,201.0,203.0,1,0.05887436866760254
101,0.01,113,0.011077345358298206,6877,201.0,201.0,201.0,1,0.14963269233703613
101,0.01,88,0.008626605234780904,10201,201.0,201.0,201.0,1,0.0498652458190918
101,0.01,115,0.011273404568179591,3101,201.0,201.0,203.0,1,0.041887521743774414
101,0.05,520,0.050975394569159886,665,201.0,201.0,207.0,1,0.20050787925720215
101,0.05,510,0.049995098519752965,1082,201.0,201.0,207.0,1,0.2365872859954834
101,0.05,517,0.05068130575433781,108,201.0,201.0,211.0,1,0.21313738822937012
101,0.05,522,0.05117145377904127,602,201.0,201.0,219.0,1,0.27364015579223633
101,0.05,480,0.0470542103715322,106,201.0,201.0,219.0,1,0.44203734397888184
101,0.05,490,0.04803450642093912,710,201.0,201.0,205.0,1,0.2768385410308838
101,0.05,472,0.04626997353200667,29,201.0,201.0,213.0,1,0.3877873420715332
