Dimension,Probability,No_of_blocks,Density,Outcome,Length_of_path
101,0.04,432,0.04234878933437898,1,201.0
101,0.04,481,0.047152239976472894,1,201.0
101,0.04,439,0.043034996568963826,1,201.0
101,0.04,417,0.0408783452602686,1,201.0
101,0.05,498,0.04881874326046466,1,201.0
101,0.05,492,0.04823056563082051,1,201.0
101,0.05,481,0.047152239976472894,1,201.0
101,0.05,501,0.04911283207528674,1,201.0
101,0.05,494,0.04842662484070189,1,201.0
101,0.05,496,0.04862268405058327,1,201.0
101,0.05,521,0.05107342417410058,1,201.0
101,0.05,539,0.052837957063033035,1,201.0
101,0.05,485,0.047544358396235664,1,201.0
101,0.05,518,0.050779335359278505,1,201.0
101,0.05,448,0.043917263013430054,1,201.0
101,0.05,500,0.04901480247034604,1,201.0
101,0.05,498,0.04881874326046466,1,201.0
101,0.05,504,0.04940692089010881,1,201.0
101,0.05,524,0.051367512988922656,1,201.0
101,0.05,493,0.0483285952357612,1,201.0
101,0.05,505,0.04950495049504951,1,201.0
101,0.05,536,0.05254386824821096,1,201.0
101,0.05,516,0.050583276149397116,1,201.0
101,0.05,476,0.04666209195176944,1,201.0
101,0.06,605,0.059307910989118716,1,201.0
101,0.06,645,0.0632290951867464,1,201.0
101,0.06,606,0.0594059405940594,1,201.0
101,0.06,577,0.05656308205077933,1,201.0
101,0.06,643,0.063033035976865,1,201.0
101,0.06,624,0.061170473482991865,1,201.0
101,0.06,604,0.05920988138417802,1,201.0
101,0.06,609,0.05970002940888148,1,201.0
101,0.06,623,0.06107244387805117,1,201.0
101,0.06,598,0.05862170375453387,1,201.0
101,0.06,601,0.058915792569355946,1,201.0
101,0.06,626,0.061366532692873246,1,201.0
101,0.06,602,0.05901382217429664,1,201.0
101,0.06,617,0.06048426624840702,1,201.0
101,0.06,579,0.05675914126066072,1,201.0
101,0.06,614,0.06019017743358494,1,201.0
101,0.06,570,0.055876874816194494,1,201.0
101,0.06,596,0.05842564454465248,1,201.0
101,0.06,582,0.0570532300754828,1,201.0
101,0.06,617,0.06048426624840702,1,201.0
101,0.07,727,0.07126752279188314,1,201.0
101,0.07,722,0.07077737476717968,1,201.0
101,0.07,695,0.068130575433781,1,201.0
101,0.07,706,0.06920890108812862,1,201.0
101,0.07,717,0.07028722674247623,1,201.0
101,0.07,656,0.064307420841094,1,201.0
101,0.07,747,0.07322811489069699,1,201.0
101,0.07,716,0.07018919713753553,1,201.0
101,0.07,720,0.07058131555729831,1,201.0
101,0.07,741,0.07263993726105283,1,201.0
101,0.07,741,0.07263993726105283,1,201.0
101,0.07,726,0.07116949318694246,1,201.0
101,0.07,706,0.06920890108812862,1,201.0
101,0.07,708,0.06940496029801,1,201.0
101,0.07,708,0.06940496029801,1,201.0
101,0.07,681,0.06675816096461132,1,201.0
101,0.07,696,0.06822860503872169,1,201.0
101,0.07,724,0.07097343397706107,1,201.0
101,0.07,722,0.07077737476717968,1,201.0
101,0.07,683,0.06695422017449269,0,
101,0.08,817,0.08009018723654544,1,201.0
101,0.08,891,0.08734437800215665,1,201.0
101,0.08,806,0.07901186158219782,1,201.0
101,0.08,820,0.08038427605136751,1,201.0
101,0.08,831,0.08146260170571512,1,201.0
101,0.08,818,0.08018821684148612,1,201.0
101,0.08,797,0.0781295951377316,1,201.0
101,0.08,826,0.08097245368101166,1,201.0
101,0.08,811,0.07950200960690128,1,201.0
101,0.08,827,0.08107048328595236,1,201.0
101,0.08,854,0.08371728261935105,1,201.0
101,0.08,813,0.07969806881678267,1,201.0
101,0.08,810,0.0794039800019606,1,201.0
101,0.08,795,0.07793353592785021,1,201.0
101,0.08,797,0.0781295951377316,1,201.0
101,0.08,803,0.07871777276737575,1,201.0
101,0.08,878,0.08606999313792765,1,201.0
101,0.08,775,0.07597294382903637,1,201.0
101,0.08,763,0.07479658856974807,1,201.0
101,0.08,798,0.07822762474267228,1,201.0
101,0.09,925,0.09067738457014018,1,201.0
101,0.09,923,0.0904813253602588,1,201.0
101,0.09,951,0.09322615429859818,1,201.0
101,0.09,884,0.0866581707675718,1,201.0
101,0.09,912,0.08940299970591119,1,201.0
101,0.09,928,0.09097147338496225,1,201.0
101,0.09,873,0.0855798451132242,1,201.0
101,0.09,893,0.08754043721203804,1,201.0
101,0.09,888,0.08705028918733458,1,201.0
101,0.09,884,0.0866581707675718,1,201.0
101,0.09,935,0.0916576806195471,1,201.0
101,0.09,926,0.09077541417508088,1,201.0
101,0.09,912,0.08940299970591119,1,201.0
101,0.09,896,0.08783452602686011,1,201.0
101,0.09,947,0.0928340358788354,1,201.0
