Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Outcome,Trajectory_length,Time_taken
101,0.05,512,0.050191158,228,205,205,1,219,0.027188063
101,0.05,505,0.04950495,220,213,213,1,213,0.016955137
101,0.05,504,0.049406921,219,209,209,1,211,0.025929213
101,0.05,487,0.047740418,3,,,0,,0.008980274
101,0.05,516,0.050583276,218,209,209,1,211,0.020942211
101,0.05,509,0.049897069,230,213,211,1,217,0.037920713
101,0.05,526,0.051563572,231,217,217,1,219,0.039368629
101,0.05,482,0.04725027,219,207,207,1,209,0.040117502
101,0.05,479,0.046956181,221,209,209,1,209,0.045876026
101,0.05,496,0.048622684,225,211,211,1,213,0.052510977
101,0.05,490,0.048034506,226,215,215,1,215,0.027925014
101,0.05,537,0.052641898,226,211,209,1,215,0.029920578
101,0.05,578,0.056661112,209,205,205,1,205,0.015997887
101,0.05,497,0.048720714,220,211,211,1,215,0.016954899
101,0.05,521,0.051073424,234,213,213,1,219,0.047869921
101,0.05,516,0.050583276,220,209,209,1,211,0.02895093
101,0.05,502,0.049210862,232,213,211,1,217,0.035904646
101,0.05,505,0.04950495,224,211,211,1,215,0.024658203
101,0.05,524,0.051367513,224,211,211,1,215,0.020941973
101,0.05,520,0.050975395,226,213,213,1,213,0.039889336
101,0.05,510,0.049995099,231,219,219,1,219,0.02094388
101,0.05,517,0.050681306,215,207,207,1,209,0.023937941
101,0.05,508,0.049799039,225,213,213,1,215,0.029888868
101,0.05,522,0.051171454,223,209,207,1,209,0.046767473
101,0.05,508,0.049799039,221,209,209,1,215,0.023966074
101,0.05,523,0.051269483,228,217,217,1,217,0.038892269
101,0.05,495,0.048524654,212,201,201,1,203,0.055848122
101,0.05,506,0.04960298,246,,,0,,0.507581711
101,0.05,480,0.04705421,219,207,207,1,211,0.026927471
101,0.05,534,0.052347809,215,205,205,1,205,0.035053253
101,0.05,509,0.049897069,229,213,213,1,219,0.025961637
101,0.05,490,0.048034506,235,219,219,1,223,0.029954672
101,0.05,552,0.054112342,234,215,211,1,217,0.050642014
101,0.05,550,0.053916283,220,213,213,1,213,0.016414642
101,0.05,505,0.04950495,205,201,201,1,201,0.017984867
101,0.05,489,0.047936477,218,207,207,1,211,0.019913912
101,0.05,514,0.050387217,222,209,209,1,209,0.047870398
101,0.05,473,0.046368003,221,213,213,1,213,0.021966457
101,0.05,460,0.045093618,213,205,205,1,205,0.026897907
