Trial,weight-1-Trajectory,weight-1-Shortest,weight-1-Time,weight-5-Trajectory,weight-5-Shortest,weight-5-Time,weight-15-Trajectory,weight-15-Shortest,weight-15-Time
57,322,246,0.01927328109741211,322,246,0.020862579345703125,322,246,0.012136697769165039
58,332,248,0.026171207427978516,332,248,0.020621776580810547,332,248,0.03684711456298828
59,284,232,0.007980823516845703,284,232,0.012966394424438477,284,232,0.008979320526123047
60,278,220,0.00701594352722168,278,220,0.022931814193725586,278,220,0.03332209587097168
61,0,0,0.0,0,0,0.0,0,0,0.0
62,324,258,0.02266073226928711,324,258,0.02619457244873047,324,258,0.017960786819458008
63,340,262,0.019190549850463867,340,262,0.023611783981323242,340,262,0.012970447540283203
64,244,0,0.576458215713501,244,0,0.4702141284942627,244,0,0.4773399829864502
65,244,224,0.010299444198608398,244,224,0.006015300750732422,244,224,0.009009599685668945
66,292,230,0.012076616287231445,292,230,0.02382063865661621,292,230,0.021324872970581055
67,270,0,0.4821600914001465,270,0,0.503835916519165,270,0,0.8119149208068848
68,262,224,0.009972572326660156,262,224,0.018903493881225586,262,224,0.01728534698486328
69,288,226,0.009010791778564453,288,226,0.006265878677368164,288,226,0.01017904281616211
70,300,252,0.024564504623413086,300,252,0.022553682327270508,300,252,0.003999471664428711
71,335,0,0.5377724170684814,335,0,0.49738168716430664,335,0,0.492387056350708
72,286,244,0.018726587295532227,286,244,0.01674365997314453,286,244,0.023672819137573242
73,256,234,0.020226001739501953,256,234,0.009398698806762695,256,234,0.013408422470092773
74,270,238,0.008909463882446289,270,238,0.01646566390991211,270,238,0.013865232467651367
75,322,248,0.01649618148803711,322,248,0.008089303970336914,322,248,0.019582033157348633
76,264,228,0.01558995246887207,264,228,0.021318912506103516,264,228,0.017526626586914062
77,272,230,0.020929813385009766,272,230,0.022032499313354492,272,230,0.01800084114074707
78,344,260,0.011456489562988281,344,260,0.021848440170288086,344,260,0.006445169448852539
79,326,0,0.44045543670654297,326,0,0.4505586624145508,326,0,0.4578821659088135
80,320,244,0.010173320770263672,320,244,0.02078533172607422,320,244,0.0215756893157959
81,262,230,0.014134645462036133,262,230,0.01386570930480957,262,230,0.009824514389038086
82,252,222,0.020079612731933594,252,222,0.006978034973144531,252,222,0.005983114242553711
83,288,246,0.007016658782958984,288,246,0.009975194931030273,288,246,0.009011507034301758
84,256,230,0.005986690521240234,256,230,0.013177633285522461,256,230,0.021918535232543945
85,336,256,0.013979673385620117,336,256,0.01823711395263672,336,256,0.014451265335083008
86,266,230,0.015221118927001953,266,230,0.018512725830078125,266,230,0.011911153793334961
87,280,230,0.00997471809387207,280,230,0.007016420364379883,280,230,0.015955686569213867
88,271,0,0.47063589096069336,271,0,0.4605860710144043,271,0,0.4798557758331299
89,276,0,0.582690954208374,276,0,0.5471913814544678,276,0,0.48448824882507324
90,282,242,0.024571657180786133,282,242,0.025683879852294922,282,242,0.03007674217224121
91,290,246,0.024773597717285156,290,246,0.011747121810913086,290,246,0.02514481544494629
92,346,250,0.018783092498779297,346,250,0.012638568878173828,346,250,0.012862443923950195
93,276,254,0.011665105819702148,276,254,0.019785642623901367,276,254,0.016275882720947266
94,288,248,0.03351473808288574,288,248,0.03992199897766113,288,248,0.028725385665893555
95,264,234,0.014413833618164062,264,234,0.024639606475830078,264,234,0.005985260009765625
96,0,0,0.0,0,0,0.0,0,0,0.0
97,252,224,0.022421598434448242,252,224,0.02043747901916504,252,224,0.014638185501098633
98,286,238,0.025264263153076172,286,238,0.021533489227294922,286,238,0.021013975143432617
99,298,0,0.7080187797546387,298,0,0.6666176319122314,298,0,0.5527193546295166
