Dimension,Probability,No_of_blocks,Density,Outcome,Length_of_path
101,0.05,506,0.049602980099990195,1,201.0
101,0.05,518,0.050779335359278505,1,201.0
101,0.05,488,0.04783844721105774,1,201.0
101,0.05,536,0.05254386824821096,1,201.0
101,0.05,514,0.050387216939515735,1,201.0
101,0.05,513,0.05028918733457504,1,201.0
101,0.05,497,0.04872071365552397,1,201.0
101,0.05,470,0.04607391432212528,1,201.0
101,0.05,501,0.04911283207528674,1,201.0
101,0.05,536,0.05254386824821096,1,201.0
101,0.05,519,0.05087736496421919,1,201.0
101,0.05,545,0.05342613469267719,1,201.0
101,0.05,519,0.05087736496421919,1,201.0
101,0.05,527,0.05166160180374473,1,201.0
101,0.05,539,0.052837957063033035,1,201.0
101,0.05,527,0.05166160180374473,1,201.0
101,0.05,495,0.048524654445642586,0,
101,0.05,509,0.04989706891481227,1,201.0
101,0.05,501,0.04911283207528674,1,201.0
101,0.05,514,0.050387216939515735,1,201.0
101,0.06,608,0.05960199980394079,1,201.0
101,0.06,632,0.0619547103225174,1,201.0
101,0.06,600,0.05881776296441525,1,201.0
101,0.06,606,0.0594059405940594,1,201.0
101,0.06,633,0.06205273992745809,1,201.0
101,0.06,587,0.057543378100186254,1,201.0
101,0.06,620,0.060778355063229095,1,201.0
101,0.06,620,0.060778355063229095,1,201.0
101,0.06,614,0.06019017743358494,1,201.0
101,0.06,624,0.061170473482991865,1,201.0
101,0.06,600,0.05881776296441525,1,201.0
101,0.06,624,0.061170473482991865,1,201.0
101,0.06,605,0.059307910989118716,1,201.0
101,0.06,603,0.05911185177923733,1,201.0
101,0.06,612,0.05999411822370356,1,201.0
101,0.06,621,0.06087638466816979,1,201.0
101,0.06,615,0.06028820703852564,1,201.0
101,0.06,606,0.0594059405940594,1,201.0
101,0.06,625,0.06126850308793256,1,201.0
101,0.06,609,0.05970002940888148,1,201.0
101,0.07,761,0.07460052935986668,1,201.0
101,0.07,734,0.07195373002646799,1,201.0
101,0.07,709,0.06950298990295069,1,201.0
101,0.07,720,0.07058131555729831,1,201.0
101,0.07,695,0.068130575433781,1,201.0
101,0.07,718,0.07038525634741692,0,
101,0.07,695,0.068130575433781,1,201.0
101,0.07,692,0.06783648661895893,1,201.0
101,0.07,701,0.06871875306342515,1,201.0
101,0.07,730,0.07156161160670522,1,201.0
101,0.07,715,0.07009116753259484,1,201.0
101,0.07,692,0.06783648661895893,1,201.0
101,0.07,763,0.07479658856974807,1,201.0
101,0.07,692,0.06783648661895893,1,201.0
101,0.07,692,0.06783648661895893,1,201.0
101,0.07,730,0.07156161160670522,1,201.0
101,0.07,691,0.06773845701401823,1,201.0
101,0.07,684,0.06705224977943339,1,201.0
101,0.07,666,0.06528771689050093,1,201.0
101,0.07,711,0.06969904911283208,1,201.0
101,0.08,799,0.07832565434761297,1,201.0
101,0.08,773,0.07577688461915498,1,201.0
101,0.08,777,0.07616900303891776,1,201.0
101,0.08,829,0.08126654249583375,1,201.0
101,0.08,805,0.07891383197725713,1,201.0
101,0.08,829,0.08126654249583375,1,201.0
101,0.08,824,0.08077639447113028,1,201.0
101,0.08,849,0.08322713459464759,1,201.0
101,0.08,781,0.07656112145868052,1,201.0
101,0.08,800,0.07842368395255367,1,201.0
101,0.08,778,0.07626703264385845,1,201.0
101,0.08,834,0.0817566905205372,1,201.0
101,0.08,780,0.07646309185373983,1,201.0
101,0.08,852,0.08352122340946966,1,201.0
101,0.08,813,0.07969806881678267,1,201.0
