Dimension,Probability,No_of_blocks,Density,Outcome,Length_of_path
101,0.5,5128,0.5026958141358691,0,
101,0.5,5137,0.5035780805803353,0,
101,0.5,5213,0.5110283305558279,0,
101,0.5,5131,0.5029899029506911,0,
101,0.5,5114,0.5013233996666994,0,
101,0.5,5088,0.49877462993824134,0,
101,0.5,5074,0.49740221546907165,0,
101,0.5,5125,0.502401725321047,0,
101,0.5,5065,0.49651994902460544,0,
101,0.5,5092,0.4991667483580041,0,
101,0.6,6155,0.6033722184099598,0,
101,0.6,6121,0.6000392118419763,0,
101,0.6,6155,0.6033722184099598,0,
101,0.6,6078,0.5958239388295266,0,
101,0.6,6103,0.5982746789530439,0,
101,0.6,6119,0.5998431526320949,0,
101,0.6,6090,0.5970002940888148,0,
101,0.6,6156,0.6034702480149005,0,
101,0.6,6089,0.5969022644838742,0,
101,0.6,6147,0.6025879815704343,0,
101,0.6,6014,0.5895500441133222,0,
101,0.6,6084,0.5964121164591707,0,
101,0.6,6083,0.5963140868542299,0,
101,0.6,6143,0.6021958631506715,0,
101,0.6,6053,0.5933731987060092,0,
101,0.6,6091,0.5970983236937555,0,
101,0.6,6132,0.6011175374963239,0,
101,0.6,6148,0.602686011175375,0,
101,0.6,6133,0.6012155671012646,0,
101,0.6,6106,0.5985687677678659,0,
101,0.7,7070,0.693069306930693,0,
101,0.7,7127,0.6986569944123125,0,
101,0.7,7123,0.6982648759925497,0,
101,0.7,7150,0.7009116753259484,0,
101,0.7,7057,0.6917949220664641,0,
101,0.7,7139,0.6998333496716008,0,
101,0.7,7099,0.6959121654739732,0,
101,0.7,7130,0.6989510832271346,0,
101,0.7,7100,0.6960101950789138,0,
101,0.7,7102,0.6962062542887952,0,
101,0.7,7214,0.7071855700421528,0,
101,0.7,7160,0.7018919713753553,0,
101,0.7,7194,0.7052249779433389,0,
101,0.7,7121,0.6980688167826684,0,
101,0.7,7175,0.7033624154494658,0,
101,0.7,7107,0.6966964023134987,0,
101,0.7,7103,0.6963042838937359,0,
101,0.7,7065,0.6925791589059896,0,
101,0.7,7169,0.7027742378198216,0,
101,0.7,7172,0.7030683266346437,0,
101,0.8,8155,0.799431428291344,0,
101,0.8,8201,0.8039407901186159,0,
101,0.8,8194,0.803254582884031,0,
101,0.8,8117,0.7957063033035977,0,
101,0.8,8154,0.7993333986864033,0,
